Kode_topping,Nama_topping,Tipe_topping,Harga_topping
MATOP1,Extra Ayam,Mie Ayam,3000
MATOP2,Extra Tetelan Sapi,Mie Ayam,7000
MATOP3,Cakar (2 pcs),Mie Ayam,4000
MATOP4,Kepala,Mie Ayam,4000
MATOP5,Bakso Sapi,Mie Ayam,3000
MATOP6,Telur Mata Sapi,Mie Ayam,4000
MATOP7,Balungan Rica Ayam,Mie Ayam,4000
MATOP8,Extra Sawi,Mie Ayam,1000
MATOP9,Extra Acar,Mie Ayam,1000
BATOP1,1 Pentol Bakso Urat/Halus,Bakso,3000
BATOP2,1 Pangsit Goreng/Kukus (/pcs),Bakso,1500
BATOP3,1 Tahu Bakso (/pcs),Bakso,1500
BATOP4,Tetelan Sapi,Bakso,7000
BATOP5,"Kuah Bakso, Mie Kuning & Mie Soon",Bakso,2000
BBTOP1,"Extra Kuah, Mie * Soon",Bakso Bakar,2000
BBTOP2,Extra Pangsit Goreng,Bakso Bakar,1500
BBTOP3,Extra Tahu Bakso,Bakso Bakar,1500
STTOP1,Tetelan Sapi,Soto,7000
none,,No Topping,0
